id_localizacao,estado,estado_nome,municipio,codigo_municipio
0,SC,Santa Catarina,São Lourenço do Oeste,4216909
1,SP,Sao Paulo,Tapiratiba,3553609
2,ES,Espirito Santo,Ecoporanga,3202108
3,MT,Mato Grosso,Poxoréu,5107008
4,SC,Santa Catarina,Joaçaba,4209003
5,CE,Ceara,Maranguape,2307700
6,BA,Bahia,Euclides da Cunha,2910701
7,AM,Amazonas,Envira,1301506
8,MG,Minas Gerais,Pouso Alegre,3152501
9,SC,Santa Catarina,Araranguá,4201406
10,MA,Maranhao,Carutapera,2102903
11,SP,Sao Paulo,Votorantim,3557006
12,PB,Paraiba,Areia,2501104
13,SP,Sao Paulo,Itupeva,3524006
14,RS,Rio Grande do Sul,Ivoti,4310801
15,MG,Minas Gerais,Arinos,3104502
16,SC,Santa Catarina,Mafra,4210100
17,AC,Acre,Santa Rosa do Purus,1200435
18,PR,Parana,Marechal Cândido Rondon,4114609
19,RS,Rio Grande do Sul,Santa Vitória do Palmar,4317301
20,BA,Bahia,Seabra,2929909
21,SP,Sao Paulo,Marília,3529005
22,RO,Rondonia,Buritis,1100452
23,TO,Tocantins,Itacajá,1710508
24,CE,Ceara,Guaraciaba do Norte,2305001
25,MG,Minas Gerais,São Sebastião do Paraíso,3164704
26,SP,Sao Paulo,Rio Claro,3543907
27,SC,Santa Catarina,Biguaçu,4202305
28,MG,Minas Gerais,Araçuaí,3103405
29,GO,Goias,Mineiros,5213103
30,MG,Minas Gerais,Campos Altos,3111507
31,RN,Rio Grande do Norte,Angicos,2400802
32,PR,Parana,Lapa,4113205
33,RO,Rondonia,Rolim de Moura,1100288
34,BA,Bahia,Lapão,2919157
35,MG,Minas Gerais,Diamantina,3121605
36,MG,Minas Gerais,Rio Pardo de Minas,3155603
37,PA,Para,Curralinho,1502806
38,AL,Alagoas,São Luís do Quitunde,2708501
39,MA,Maranhao,Pindaré-Mirim,2108504
40,GO,Goias,São Luís de Montes Belos,5220108
41,CE,Ceara,Aracati,2301109
42,RN,Rio Grande do Norte,Apodi,2401008
43,SP,Sao Paulo,Itaquaquecetuba,3523107
44,MG,Minas Gerais,Pedro Leopoldo,3149309
45,AC,Acre,Marechal Thaumaturgo,1200351
46,SC,Santa Catarina,Seara,4217501
47,SP,Sao Paulo,Itararé,3523206
48,RS,Rio Grande do Sul,Tapejara,4320909
49,MG,Minas Gerais,Lontra,3138658
50,CE,Ceara,Aracoiaba,2301208
51,BA,Bahia,Urandi,2932606
52,PB,Paraiba,Itabaiana,2506905
53,MG,Minas Gerais,Águas Formosas,3100906
54,AM,Amazonas,Carauari,1301001
55,RS,Rio Grande do Sul,Ijuí,4310207
56,SP,Sao Paulo,Caçapava,3508504
57,MG,Minas Gerais,Caratinga,3113404
58,MG,Minas Gerais,Oliveira,3145604
59,SC,Santa Catarina,Indaial,4207502
60,SP,Sao Paulo,Olímpia,3533908
61,PR,Parana,Assis Chateaubriand,4102000
62,SP,Sao Paulo,Barueri,3505708
63,MG,Minas Gerais,Jacinto,3134707
64,MG,Minas Gerais,São Gonçalo do Sapucaí,3162005
65,MT,Mato Grosso,Paranatinga,5106307
66,PR,Parana,Campina Grande do Sul,4104006
67,SP,Sao Paulo,Embu das Artes,3515004
68,RN,Rio Grande do Norte,Jucurutu,2406106
69,MG,Minas Gerais,Lima Duarte,3138609
70,BA,Bahia,Itabela,2914653
71,MG,Minas Gerais,Patrocínio,3148103
72,GO,Goias,Ipameri,5210109
73,SP,Sao Paulo,Jaboticabal,3524303
74,PR,Parana,Clevelândia,4105706
75,BA,Bahia,Anagé,2901205
76,PR,Parana,Londrina,4113700
77,AL,Alagoas,Água Branca,2700102
78,MT,Mato Grosso,Comodoro,5103304
79,MG,Minas Gerais,Coromandel,3119302
80,CE,Ceara,Fortaleza,2304400
81,MA,Maranhao,Chapadinha,2103208
82,MG,Minas Gerais,Serro,3167103
83,PE,Pernambuco,Lagoa de Itaenga,2608503
84,RO,Rondonia,Cerejeiras,1100056
85,SC,Santa Catarina,Laguna,4209409
86,MG,Minas Gerais,Monte Azul,3142908
87,SP,Sao Paulo,Taubaté,3554102
88,SP,Sao Paulo,Matão,3529302
89,PR,Parana,Pato Branco,4118501
90,MG,Minas Gerais,Baependi,3104908
91,MS,Mato Grosso do Sul,Nioaque,5005806
92,MG,Minas Gerais,Santa Luzia,3157807
93,SP,Sao Paulo,Cubatão,3513504
94,SC,Santa Catarina,São Bento do Sul,4215802
95,RS,Rio Grande do Sul,Três de Maio,4321808
96,SP,Sao Paulo,São Bernardo do Campo,3548708
97,MA,Maranhao,Barão de Grajaú,2101509
98,MG,Minas Gerais,Andrelândia,3102803
99,SE,Sergipe,Capela,2801306
100,SP,Sao Paulo,Guarulhos,3518800
101,SC,Santa Catarina,Curitibanos,4204806
102,BA,Bahia,Mata de São João,2921005
103,BA,Bahia,João Dourado,2918357
104,MS,Mato Grosso do Sul,Bela Vista,5002100
105,PA,Para,Dom Eliseu,1502939
106,TO,Tocantins,Ananás,1701002
107,CE,Ceara,Russas,2311801
108,MG,Minas Gerais,Taiobeiras,3168002
109,ES,Espirito Santo,São Mateus,3204906
110,RJ,Rio de Janeiro,São Francisco de Itabapoana,3304755
111,AM,Amazonas,Tapauá,1304104
112,MG,Minas Gerais,São Gotardo,3162104
113,MG,Minas Gerais,Brumadinho,3109006
114,SP,Sao Paulo,Auriflama,3504206
115,GO,Goias,Goiás,5208905
116,MG,Minas Gerais,Passos,3147907
117,BA,Bahia,Jiquiriçá,2918209
118,MG,Minas Gerais,Itajubá,3132404
119,RS,Rio Grande do Sul,Canoas,4304606
120,SC,Santa Catarina,Palmitos,4212106
121,MT,Mato Grosso,Feliz Natal,5103700
122,PA,Para,Castanhal,1502400
123,ES,Espirito Santo,Barra de São Francisco,3200904
124,AP,Amapa,Oiapoque,1600501
125,RS,Rio Grande do Sul,Taquari,4321303
126,MA,Maranhao,Açailândia,2100055
127,BA,Bahia,Livramento de Nossa Senhora,2919504
128,MG,Minas Gerais,São João Nepomuceno,3162906
129,CE,Ceara,Campos Sales,2302701
130,MS,Mato Grosso do Sul,Camapuã,5002605
131,PE,Pernambuco,Arcoverde,2601201
132,SP,Sao Paulo,Vargem Grande do Sul,3556404
133,SP,Sao Paulo,Santa Isabel,3546801
134,MG,Minas Gerais,Três Marias,3169356
135,CE,Ceara,Hidrolândia,2305209
136,BA,Bahia,Cândido Sales,2906709
137,PA,Para,Parauapebas,1505536
138,MG,Minas Gerais,Monte Carmelo,3143104
139,MS,Mato Grosso do Sul,Miranda,5005608
140,CE,Ceara,Pacoti,2309805
141,RS,Rio Grande do Sul,Nova Petrópolis,4313201
142,MG,Minas Gerais,Aimorés,3101102
