id_participante,faixa_etaria,faixa_etaria_descricao,sexo,sexo_descricao,cor_raca,cor_raca_descricao,estado_civil,estado_civil_descricao,nacionalidade,nacionalidade_descricao,st_conclusao,st_conclusao_descricao
0,3,18,M,Masculino,2,Preta,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
1,3,18,M,Masculino,3,Parda,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
2,11,Entre 26 e 30,M,Masculino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3,2,17,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
4,10,25,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
5,17,Entre 56 e 60,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
6,10,25,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
7,8,23,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
8,19,Entre 66 e 70,M,Masculino,3,Parda,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
9,13,Entre 36 e 40,M,Masculino,4,Amarela,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
10,12,Entre 31 e 35,F,Feminino,4,Amarela,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
11,4,19,F,Feminino,3,Parda,1,Solteiro(a),3,Estrangeiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
12,8,23,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
13,5,20,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
14,14,Entre 41 e 45,F,Feminino,2,Preta,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
15,2,17,F,Feminino,2,Preta,1,Solteiro(a),0,Nao informado,2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
16,1,Menor de 17,M,Masculino,2,Preta,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
17,4,19,M,Masculino,2,Preta,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
18,7,22,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
19,3,18,M,Masculino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
20,2,17,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
21,17,Entre 56 e 60,M,Masculino,0,Nao declarado,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
22,13,Entre 36 e 40,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
23,11,Entre 26 e 30,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
24,3,18,M,Masculino,5,Indigena,4,Viuvo(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
25,15,Entre 46 e 50,M,Masculino,1,Branca,0,Nao informado,1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
26,16,Entre 51 e 55,F,Feminino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
27,2,17,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
28,16,Entre 51 e 55,F,Feminino,3,Parda,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
29,19,Entre 66 e 70,F,Feminino,1,Branca,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
