id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
0,H,Nao sei,H,Nao sei,2,,B,"Ate R$ 1.212,00"
1,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,I,"De R$ 6.060,01 ate R$ 7.272,00"
2,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",9,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,10,,J,"De R$ 7.272,01 ate R$ 8.484,00"
4,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,N,"De R$ 12.120,01 ate R$ 14.544,00"
5,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",7,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,5,,F,"De R$ 3.030,01 ate R$ 3.636,00"
7,A,Nunca estudou,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,G,"De R$ 3.636,01 ate R$ 4.848,00"
8,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,3,,M,"De R$ 10.908,01 ate R$ 12.120,00"
9,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,N,"De R$ 12.120,01 ate R$ 14.544,00"
10,H,Nao sei,B,Nao completou a 4 serie/5 ano,3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
11,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",14,,E,"De R$ 2.424,01 ate R$ 3.030,00"
